"matrix"	"nSim"	"nSeq"	"protocol"	"model"
"3demes"	3	150	"uniform"	"dta"
"3demes"	3	150	"biased_20"	"dta"
"3demes"	9	150	"uniform"	"dta"
"3demes"	9	150	"biased_20"	"dta"
"3demes"	9	150	"biased_10"	"dta"
"3demes"	9	150	"uniformS_20"	"dta"
"3demes"	9	150	"maxPerRegionYear_20"	"dta"
"3demes"	9	150	"maxPerRegionYear_10"	"dta"
"3demes"	9	150	"biased_5"	"dta"
"3demes"	9	150	"maxPerRegion_10"	"dta"
"3demes"	9	150	"uniformS_10"	"dta"
"3demes"	9	150	"maxPerRegion_20"	"dta"
"3demes"	9	150	"biased_2.5"	"dta"
"3demes"	9	150	"biased_50"	"dta"
"3demes"	2	150	"biased_50"	"dta"
"3demes"	2	150	"maxPerRegion_10"	"dta"
"3demes"	2	150	"maxPerRegionYear_20"	"dta"
"3demes"	2	150	"uniformS_10"	"dta"
"3demes"	2	150	"biased_20"	"dta"
"3demes"	2	150	"maxPerRegionYear_10"	"dta"
"3demes"	2	150	"biased_2.5"	"dta"
"3demes"	2	150	"biased_10"	"dta"
"3demes"	2	150	"biased_5"	"dta"
"3demes"	2	150	"uniform"	"dta"
"3demes"	2	150	"maxPerRegion_20"	"dta"
"3demes"	2	150	"uniformS_20"	"dta"
"3demes"	6	150	"maxPerRegionYear_20"	"dta"
"3demes"	6	150	"uniformS_10"	"dta"
"3demes"	6	150	"biased_10"	"dta"
"3demes"	6	150	"biased_5"	"dta"
"3demes"	6	150	"maxPerRegion_10"	"dta"
"3demes"	6	150	"maxPerRegion_20"	"dta"
"3demes"	6	150	"biased_20"	"dta"
"3demes"	6	150	"maxPerRegionYear_10"	"dta"
"3demes"	6	150	"biased_50"	"dta"
"3demes"	6	150	"uniformS_20"	"dta"
"3demes"	6	150	"uniform"	"dta"
"3demes"	6	150	"biased_2.5"	"dta"
"3demes"	8	150	"uniform"	"dta"
"3demes"	8	150	"maxPerRegionYear_10"	"dta"
"3demes"	8	150	"uniformS_10"	"dta"
"3demes"	8	150	"biased_20"	"dta"
"3demes"	8	150	"biased_10"	"dta"
"3demes"	8	150	"biased_2.5"	"dta"
"3demes"	8	150	"maxPerRegion_10"	"dta"
"3demes"	8	150	"maxPerRegion_20"	"dta"
"3demes"	8	150	"uniformS_20"	"dta"
"3demes"	8	150	"biased_50"	"dta"
"3demes"	8	150	"maxPerRegionYear_20"	"dta"
"3demes"	8	150	"biased_5"	"dta"
"3demes"	1	150	"maxPerRegion_20"	"basta"
"3demes"	1	150	"biased_10"	"basta"
"3demes"	1	150	"uniform"	"basta"
"3demes"	1	150	"biased_5"	"basta"
"3demes"	1	150	"maxPerRegion_10"	"basta"
"3demes"	1	150	"biased_20"	"basta"
"3demes"	1	150	"uniformS_10"	"basta"
"3demes"	1	150	"maxPerRegionYear_20"	"basta"
"3demes"	1	150	"biased_2.5"	"basta"
"3demes"	1	150	"maxPerRegionYear_10"	"basta"
"3demes"	1	150	"biased_50"	"basta"
"3demes"	1	150	"uniformS_20"	"basta"
"3demes"	7	150	"uniformS_10"	"basta"
"3demes"	7	150	"uniform"	"basta"
"3demes"	7	150	"biased_50"	"basta"
"3demes"	7	150	"biased_2.5"	"basta"
"3demes"	7	150	"biased_5"	"basta"
"3demes"	7	150	"biased_10"	"basta"
"3demes"	7	150	"maxPerRegion_20"	"basta"
"3demes"	7	150	"biased_20"	"basta"
"3demes"	7	150	"maxPerRegion_10"	"basta"
"3demes"	7	150	"uniformS_20"	"basta"
"3demes"	7	150	"maxPerRegionYear_20"	"basta"
"3demes"	7	150	"maxPerRegionYear_10"	"basta"
"3demes"	5	150	"biased_5"	"basta"
"3demes"	5	150	"uniformS_20"	"basta"
"3demes"	5	150	"uniform"	"basta"
"3demes"	5	150	"biased_50"	"basta"
"3demes"	5	150	"maxPerRegion_10"	"basta"
"3demes"	5	150	"biased_10"	"basta"
"3demes"	5	150	"biased_20"	"basta"
"3demes"	5	150	"biased_2.5"	"basta"
"3demes"	5	150	"maxPerRegionYear_20"	"basta"
"3demes"	5	150	"uniformS_10"	"basta"
"3demes"	5	150	"maxPerRegionYear_10"	"basta"
"3demes"	5	150	"maxPerRegion_20"	"basta"
"3demes"	4	150	"biased_20"	"basta"
"3demes"	4	150	"biased_2.5"	"basta"
"3demes"	4	150	"biased_5"	"basta"
"3demes"	4	150	"biased_10"	"basta"
"3demes"	4	150	"uniform"	"basta"
"3demes"	4	150	"maxPerRegionYear_10"	"basta"
"3demes"	4	150	"biased_50"	"basta"
"3demes"	4	150	"uniformS_10"	"basta"
"3demes"	4	150	"maxPerRegion_20"	"basta"
"3demes"	4	150	"uniformS_20"	"basta"
"3demes"	4	150	"maxPerRegionYear_20"	"basta"
"3demes"	4	150	"maxPerRegion_10"	"basta"
"3demes"	10	150	"biased_20"	"basta"
"3demes"	10	150	"biased_2.5"	"basta"
"3demes"	10	150	"uniformS_10"	"basta"
"3demes"	10	150	"uniform"	"basta"
"3demes"	10	150	"maxPerRegionYear_10"	"basta"
"3demes"	10	150	"biased_50"	"basta"
"3demes"	10	150	"maxPerRegionYear_20"	"basta"
"3demes"	10	150	"uniformS_20"	"basta"
"3demes"	10	150	"maxPerRegion_10"	"basta"
"3demes"	10	150	"biased_10"	"basta"
"3demes"	10	150	"biased_5"	"basta"
"3demes"	10	150	"maxPerRegion_20"	"basta"
"3demes"	3	150	"maxPerRegion_20"	"basta"
"3demes"	3	150	"biased_5"	"basta"
"3demes"	3	150	"uniformS_10"	"basta"
"3demes"	3	150	"biased_50"	"basta"
"3demes"	3	150	"maxPerRegion_10"	"basta"
"3demes"	3	150	"biased_10"	"basta"
"3demes"	3	150	"biased_2.5"	"basta"
"3demes"	3	150	"maxPerRegionYear_10"	"basta"
"3demes"	3	150	"uniformS_20"	"basta"
"3demes"	3	150	"maxPerRegionYear_20"	"basta"
"3demes"	3	150	"uniform"	"basta"
"3demes"	3	150	"biased_20"	"basta"
"3demes"	9	150	"uniform"	"basta"
"3demes"	9	150	"biased_20"	"basta"
"3demes"	9	150	"biased_10"	"basta"
"3demes"	9	150	"uniformS_20"	"basta"
"3demes"	9	150	"maxPerRegionYear_20"	"basta"
"3demes"	9	150	"maxPerRegionYear_10"	"basta"
"3demes"	9	150	"biased_5"	"basta"
"3demes"	9	150	"maxPerRegion_10"	"basta"
"3demes"	9	150	"uniformS_10"	"basta"
"3demes"	9	150	"maxPerRegion_20"	"basta"
"3demes"	9	150	"biased_2.5"	"basta"
"3demes"	9	150	"biased_50"	"basta"
"3demes"	2	150	"biased_50"	"basta"
"3demes"	2	150	"maxPerRegion_10"	"basta"
"3demes"	2	150	"maxPerRegionYear_20"	"basta"
"3demes"	2	150	"uniformS_10"	"basta"
"3demes"	2	150	"biased_20"	"basta"
"3demes"	2	150	"maxPerRegionYear_10"	"basta"
"3demes"	2	150	"biased_2.5"	"basta"
"3demes"	2	150	"biased_10"	"basta"
"3demes"	2	150	"biased_5"	"basta"
"3demes"	2	150	"uniform"	"basta"
"3demes"	2	150	"maxPerRegion_20"	"basta"
"3demes"	2	150	"uniformS_20"	"basta"
"3demes"	6	150	"maxPerRegionYear_20"	"basta"
"3demes"	6	150	"uniformS_10"	"basta"
"3demes"	6	150	"biased_10"	"basta"
"3demes"	6	150	"biased_5"	"basta"
"3demes"	6	150	"maxPerRegion_10"	"basta"
"3demes"	6	150	"maxPerRegion_20"	"basta"
"3demes"	6	150	"biased_20"	"basta"
"3demes"	6	150	"maxPerRegionYear_10"	"basta"
"3demes"	6	150	"biased_50"	"basta"
"3demes"	6	150	"uniformS_20"	"basta"
"3demes"	6	150	"uniform"	"basta"
"3demes"	6	150	"biased_2.5"	"basta"
"3demes"	8	150	"uniform"	"basta"
"3demes"	8	150	"maxPerRegionYear_10"	"basta"
"3demes"	8	150	"uniformS_10"	"basta"
"3demes"	8	150	"biased_20"	"basta"
"3demes"	8	150	"biased_10"	"basta"
"3demes"	8	150	"biased_2.5"	"basta"
"3demes"	8	150	"maxPerRegion_10"	"basta"
"3demes"	8	150	"maxPerRegion_20"	"basta"
"3demes"	8	150	"uniformS_20"	"basta"
"3demes"	8	150	"biased_50"	"basta"
"3demes"	8	150	"maxPerRegionYear_20"	"basta"
"3demes"	8	150	"biased_5"	"basta"
"3demes"	1	150	"maxPerRegion_20"	"mascot"
"3demes"	1	150	"biased_10"	"mascot"
"3demes"	1	150	"uniform"	"mascot"
"3demes"	1	150	"biased_5"	"mascot"
"3demes"	1	150	"maxPerRegion_10"	"mascot"
"3demes"	1	150	"biased_20"	"mascot"
"3demes"	1	150	"uniformS_10"	"mascot"
"3demes"	1	150	"maxPerRegionYear_20"	"mascot"
"3demes"	1	150	"biased_2.5"	"mascot"
"3demes"	1	150	"maxPerRegionYear_10"	"mascot"
"3demes"	1	150	"biased_50"	"mascot"
"3demes"	1	150	"uniformS_20"	"mascot"
"3demes"	7	150	"uniformS_10"	"mascot"
"3demes"	7	150	"uniform"	"mascot"
"3demes"	7	150	"biased_50"	"mascot"
"3demes"	7	150	"biased_2.5"	"mascot"
"3demes"	7	150	"biased_5"	"mascot"
"3demes"	7	150	"biased_10"	"mascot"
"3demes"	7	150	"maxPerRegion_20"	"mascot"
"3demes"	7	150	"biased_20"	"mascot"
"3demes"	7	150	"maxPerRegion_10"	"mascot"
"3demes"	7	150	"uniformS_20"	"mascot"
"3demes"	7	150	"maxPerRegionYear_20"	"mascot"
"3demes"	7	150	"maxPerRegionYear_10"	"mascot"
"3demes"	5	150	"biased_5"	"mascot"
"3demes"	5	150	"uniformS_20"	"mascot"
"3demes"	5	150	"uniform"	"mascot"
"3demes"	5	150	"biased_50"	"mascot"
"3demes"	5	150	"maxPerRegion_10"	"mascot"
"3demes"	5	150	"biased_10"	"mascot"
"3demes"	5	150	"biased_20"	"mascot"
"3demes"	5	150	"biased_2.5"	"mascot"
"3demes"	5	150	"maxPerRegionYear_20"	"mascot"
"3demes"	5	150	"uniformS_10"	"mascot"
"3demes"	5	150	"maxPerRegionYear_10"	"mascot"
"3demes"	5	150	"maxPerRegion_20"	"mascot"
"3demes"	4	150	"biased_20"	"mascot"
"3demes"	4	150	"biased_2.5"	"mascot"
"3demes"	4	150	"biased_5"	"mascot"
"3demes"	4	150	"biased_10"	"mascot"
"3demes"	4	150	"uniform"	"mascot"
"3demes"	4	150	"maxPerRegionYear_10"	"mascot"
"3demes"	4	150	"biased_50"	"mascot"
"3demes"	4	150	"uniformS_10"	"mascot"
"3demes"	4	150	"maxPerRegion_20"	"mascot"
"3demes"	4	150	"uniformS_20"	"mascot"
"3demes"	4	150	"maxPerRegionYear_20"	"mascot"
"3demes"	4	150	"maxPerRegion_10"	"mascot"
"3demes"	10	150	"biased_20"	"mascot"
"3demes"	10	150	"biased_2.5"	"mascot"
"3demes"	10	150	"uniformS_10"	"mascot"
"3demes"	10	150	"uniform"	"mascot"
"3demes"	10	150	"maxPerRegionYear_10"	"mascot"
"3demes"	10	150	"biased_50"	"mascot"
"3demes"	10	150	"maxPerRegionYear_20"	"mascot"
"3demes"	10	150	"uniformS_20"	"mascot"
"3demes"	10	150	"maxPerRegion_10"	"mascot"
"3demes"	10	150	"biased_10"	"mascot"
"3demes"	10	150	"biased_5"	"mascot"
"3demes"	10	150	"maxPerRegion_20"	"mascot"
"3demes"	3	150	"maxPerRegion_20"	"mascot"
"3demes"	3	150	"biased_5"	"mascot"
"3demes"	3	150	"uniformS_10"	"mascot"
"3demes"	3	150	"biased_50"	"mascot"
"3demes"	3	150	"maxPerRegion_10"	"mascot"
"3demes"	3	150	"biased_10"	"mascot"
"3demes"	3	150	"biased_2.5"	"mascot"
"3demes"	3	150	"maxPerRegionYear_10"	"mascot"
"3demes"	3	150	"uniformS_20"	"mascot"
"3demes"	3	150	"maxPerRegionYear_20"	"mascot"
"3demes"	3	150	"uniform"	"mascot"
"3demes"	3	150	"biased_20"	"mascot"
"3demes"	9	150	"uniform"	"mascot"
"3demes"	9	150	"biased_20"	"mascot"
"3demes"	9	150	"biased_10"	"mascot"
"3demes"	9	150	"uniformS_20"	"mascot"
"3demes"	9	150	"maxPerRegionYear_20"	"mascot"
"3demes"	9	150	"maxPerRegionYear_10"	"mascot"
"3demes"	9	150	"biased_5"	"mascot"
"3demes"	9	150	"maxPerRegion_10"	"mascot"
"3demes"	9	150	"uniformS_10"	"mascot"
"3demes"	9	150	"maxPerRegion_20"	"mascot"
"3demes"	9	150	"biased_2.5"	"mascot"
"3demes"	9	150	"biased_50"	"mascot"
"3demes"	2	150	"biased_50"	"mascot"
"3demes"	2	150	"maxPerRegion_10"	"mascot"
"3demes"	2	150	"maxPerRegionYear_20"	"mascot"
"3demes"	2	150	"uniformS_10"	"mascot"
"3demes"	2	150	"biased_20"	"mascot"
"3demes"	2	150	"maxPerRegionYear_10"	"mascot"
"3demes"	2	150	"biased_2.5"	"mascot"
"3demes"	2	150	"biased_10"	"mascot"
"3demes"	2	150	"biased_5"	"mascot"
"3demes"	2	150	"uniform"	"mascot"
"3demes"	2	150	"maxPerRegion_20"	"mascot"
"3demes"	2	150	"uniformS_20"	"mascot"
"3demes"	6	150	"maxPerRegionYear_20"	"mascot"
"3demes"	6	150	"uniformS_10"	"mascot"
"3demes"	6	150	"biased_10"	"mascot"
"3demes"	6	150	"biased_5"	"mascot"
"3demes"	6	150	"maxPerRegion_10"	"mascot"
"3demes"	6	150	"maxPerRegion_20"	"mascot"
"3demes"	6	150	"biased_20"	"mascot"
"3demes"	6	150	"maxPerRegionYear_10"	"mascot"
"3demes"	6	150	"biased_50"	"mascot"
"3demes"	6	150	"uniformS_20"	"mascot"
"3demes"	6	150	"uniform"	"mascot"
"3demes"	6	150	"biased_2.5"	"mascot"
"3demes"	8	150	"uniform"	"mascot"
"3demes"	8	150	"maxPerRegionYear_10"	"mascot"
"3demes"	8	150	"uniformS_10"	"mascot"
"3demes"	8	150	"biased_20"	"mascot"
"3demes"	8	150	"biased_10"	"mascot"
"3demes"	8	150	"biased_2.5"	"mascot"
"3demes"	8	150	"maxPerRegion_10"	"mascot"
"3demes"	8	150	"maxPerRegion_20"	"mascot"
"3demes"	8	150	"uniformS_20"	"mascot"
"3demes"	8	150	"biased_50"	"mascot"
"3demes"	8	150	"maxPerRegionYear_20"	"mascot"
"3demes"	8	150	"biased_5"	"mascot"
"3demes"	1	500	"biased_2.5"	"dta"
"3demes"	1	500	"maxPerRegionYear_20"	"dta"
"3demes"	1	500	"biased_20"	"dta"
"3demes"	1	500	"uniformS_20"	"dta"
"3demes"	1	500	"uniformS_10"	"dta"
"3demes"	1	500	"uniform"	"dta"
"3demes"	1	500	"biased_10"	"dta"
"3demes"	1	500	"biased_5"	"dta"
"3demes"	1	500	"biased_50"	"dta"
"3demes"	1	500	"maxPerRegion_20"	"dta"
"3demes"	1	500	"maxPerRegionYear_10"	"dta"
"3demes"	1	500	"maxPerRegion_10"	"dta"
"3demes"	7	500	"biased_5"	"dta"
"3demes"	7	500	"maxPerRegionYear_10"	"dta"
"3demes"	7	500	"biased_20"	"dta"
"3demes"	7	500	"maxPerRegion_10"	"dta"
"3demes"	7	500	"biased_10"	"dta"
"3demes"	7	500	"uniform"	"dta"
"3demes"	7	500	"uniformS_20"	"dta"
"3demes"	7	500	"maxPerRegionYear_20"	"dta"
"3demes"	7	500	"biased_2.5"	"dta"
"3demes"	7	500	"uniformS_10"	"dta"
"3demes"	7	500	"maxPerRegion_20"	"dta"
"3demes"	7	500	"biased_50"	"dta"
"3demes"	5	500	"maxPerRegionYear_10"	"dta"
"3demes"	5	500	"maxPerRegionYear_20"	"dta"
"3demes"	5	500	"biased_20"	"dta"
"3demes"	5	500	"uniform"	"dta"
"3demes"	5	500	"biased_5"	"dta"
"3demes"	5	500	"uniformS_20"	"dta"
"3demes"	5	500	"biased_10"	"dta"
"3demes"	5	500	"uniformS_10"	"dta"
"3demes"	5	500	"biased_50"	"dta"
"3demes"	5	500	"maxPerRegion_20"	"dta"
"3demes"	5	500	"maxPerRegion_10"	"dta"
"3demes"	5	500	"biased_2.5"	"dta"
"3demes"	4	500	"biased_2.5"	"dta"
"3demes"	4	500	"biased_50"	"dta"
"3demes"	4	500	"biased_5"	"dta"
"3demes"	4	500	"uniform"	"dta"
"3demes"	4	500	"maxPerRegion_10"	"dta"
"3demes"	4	500	"uniformS_20"	"dta"
"3demes"	4	500	"biased_10"	"dta"
"3demes"	4	500	"maxPerRegion_20"	"dta"
"3demes"	4	500	"uniformS_10"	"dta"
"3demes"	4	500	"biased_20"	"dta"
"3demes"	4	500	"maxPerRegionYear_20"	"dta"
"3demes"	4	500	"maxPerRegionYear_10"	"dta"
"3demes"	10	500	"biased_10"	"dta"
"3demes"	10	500	"maxPerRegion_10"	"dta"
"3demes"	10	500	"biased_5"	"dta"
"3demes"	10	500	"biased_20"	"dta"
"3demes"	10	500	"maxPerRegion_20"	"dta"
"3demes"	10	500	"maxPerRegionYear_20"	"dta"
"3demes"	10	500	"maxPerRegionYear_10"	"dta"
"3demes"	10	500	"uniformS_10"	"dta"
"3demes"	10	500	"uniform"	"dta"
"3demes"	10	500	"uniformS_20"	"dta"
"3demes"	10	500	"biased_2.5"	"dta"
"3demes"	10	500	"biased_50"	"dta"
"3demes"	3	500	"biased_50"	"dta"
"3demes"	3	500	"biased_2.5"	"dta"
"3demes"	3	500	"biased_5"	"dta"
"3demes"	3	500	"uniform"	"dta"
"3demes"	3	500	"uniformS_20"	"dta"
"3demes"	3	500	"maxPerRegionYear_10"	"dta"
"3demes"	3	500	"uniformS_10"	"dta"
"3demes"	3	500	"maxPerRegion_10"	"dta"
"3demes"	3	500	"maxPerRegion_20"	"dta"
"3demes"	3	500	"biased_10"	"dta"
"3demes"	3	500	"biased_20"	"dta"
"3demes"	3	500	"maxPerRegionYear_20"	"dta"
"3demes"	9	500	"biased_5"	"dta"
"3demes"	9	500	"biased_20"	"dta"
"3demes"	9	500	"biased_50"	"dta"
"3demes"	9	500	"maxPerRegion_10"	"dta"
"3demes"	9	500	"uniform"	"dta"
"3demes"	9	500	"uniformS_20"	"dta"
"3demes"	9	500	"maxPerRegionYear_10"	"dta"
"3demes"	9	500	"maxPerRegion_20"	"dta"
"3demes"	9	500	"biased_10"	"dta"
"3demes"	9	500	"maxPerRegionYear_20"	"dta"
"3demes"	9	500	"uniformS_10"	"dta"
"3demes"	9	500	"biased_2.5"	"dta"
"3demes"	2	500	"maxPerRegion_10"	"dta"
"3demes"	2	500	"maxPerRegionYear_10"	"dta"
"3demes"	2	500	"biased_20"	"dta"
"3demes"	2	500	"maxPerRegion_20"	"dta"
"3demes"	2	500	"biased_10"	"dta"
"3demes"	2	500	"biased_5"	"dta"
"3demes"	2	500	"uniformS_20"	"dta"
"3demes"	2	500	"uniformS_10"	"dta"
"3demes"	2	500	"biased_2.5"	"dta"
"3demes"	2	500	"maxPerRegionYear_20"	"dta"
"3demes"	2	500	"uniform"	"dta"
"3demes"	2	500	"biased_50"	"dta"
"3demes"	6	500	"uniformS_20"	"dta"
"3demes"	6	500	"maxPerRegion_20"	"dta"
"3demes"	6	500	"maxPerRegionYear_20"	"dta"
"3demes"	6	500	"biased_20"	"dta"
"3demes"	6	500	"uniform"	"dta"
"3demes"	6	500	"maxPerRegionYear_10"	"dta"
"3demes"	6	500	"biased_10"	"dta"
"3demes"	6	500	"uniformS_10"	"dta"
"3demes"	6	500	"biased_2.5"	"dta"
"3demes"	6	500	"maxPerRegion_10"	"dta"
"3demes"	6	500	"biased_50"	"dta"
"3demes"	6	500	"biased_5"	"dta"
"3demes"	8	500	"biased_20"	"dta"
"3demes"	8	500	"biased_50"	"dta"
"3demes"	8	500	"maxPerRegion_20"	"dta"
"3demes"	8	500	"uniform"	"dta"
"3demes"	8	500	"maxPerRegionYear_10"	"dta"
"3demes"	8	500	"maxPerRegionYear_20"	"dta"
"3demes"	8	500	"biased_5"	"dta"
"3demes"	8	500	"biased_2.5"	"dta"
"3demes"	8	500	"uniformS_10"	"dta"
"3demes"	8	500	"biased_10"	"dta"
"3demes"	8	500	"uniformS_20"	"dta"
"3demes"	8	500	"maxPerRegion_10"	"dta"
"3demes"	1	500	"biased_2.5"	"mascot"
"3demes"	1	500	"maxPerRegionYear_20"	"mascot"
"3demes"	1	500	"biased_20"	"mascot"
"3demes"	1	500	"uniformS_20"	"mascot"
"3demes"	1	500	"uniformS_10"	"mascot"
"3demes"	1	500	"uniform"	"mascot"
"3demes"	1	500	"biased_10"	"mascot"
"3demes"	1	500	"biased_5"	"mascot"
"3demes"	1	500	"biased_50"	"mascot"
"3demes"	1	500	"maxPerRegion_20"	"mascot"
"3demes"	1	500	"maxPerRegionYear_10"	"mascot"
"3demes"	1	500	"maxPerRegion_10"	"mascot"
"3demes"	7	500	"biased_5"	"mascot"
"3demes"	7	500	"maxPerRegionYear_10"	"mascot"
"3demes"	7	500	"biased_20"	"mascot"
"3demes"	7	500	"maxPerRegion_10"	"mascot"
"3demes"	7	500	"biased_10"	"mascot"
"3demes"	7	500	"uniform"	"mascot"
"3demes"	7	500	"uniformS_20"	"mascot"
"3demes"	7	500	"maxPerRegionYear_20"	"mascot"
"3demes"	7	500	"biased_2.5"	"mascot"
"3demes"	7	500	"uniformS_10"	"mascot"
"3demes"	7	500	"maxPerRegion_20"	"mascot"
"3demes"	7	500	"biased_50"	"mascot"
"3demes"	5	500	"maxPerRegionYear_10"	"mascot"
"3demes"	5	500	"maxPerRegionYear_20"	"mascot"
"3demes"	5	500	"biased_20"	"mascot"
"3demes"	5	500	"uniform"	"mascot"
"3demes"	5	500	"biased_5"	"mascot"
"3demes"	5	500	"uniformS_20"	"mascot"
"3demes"	5	500	"biased_10"	"mascot"
"3demes"	5	500	"uniformS_10"	"mascot"
"3demes"	5	500	"biased_50"	"mascot"
"3demes"	5	500	"maxPerRegion_20"	"mascot"
"3demes"	5	500	"maxPerRegion_10"	"mascot"
"3demes"	5	500	"biased_2.5"	"mascot"
"3demes"	4	500	"biased_2.5"	"mascot"
"3demes"	4	500	"biased_50"	"mascot"
"3demes"	4	500	"biased_5"	"mascot"
"3demes"	4	500	"uniform"	"mascot"
"3demes"	4	500	"maxPerRegion_10"	"mascot"
"3demes"	4	500	"uniformS_20"	"mascot"
"3demes"	4	500	"biased_10"	"mascot"
"3demes"	4	500	"maxPerRegion_20"	"mascot"
"3demes"	4	500	"uniformS_10"	"mascot"
"3demes"	4	500	"biased_20"	"mascot"
"3demes"	4	500	"maxPerRegionYear_20"	"mascot"
"3demes"	4	500	"maxPerRegionYear_10"	"mascot"
"3demes"	10	500	"biased_10"	"mascot"
"3demes"	10	500	"maxPerRegion_10"	"mascot"
"3demes"	10	500	"biased_5"	"mascot"
"3demes"	10	500	"biased_20"	"mascot"
"3demes"	10	500	"maxPerRegion_20"	"mascot"
"3demes"	10	500	"maxPerRegionYear_20"	"mascot"
"3demes"	10	500	"maxPerRegionYear_10"	"mascot"
"3demes"	10	500	"uniformS_10"	"mascot"
"3demes"	10	500	"uniform"	"mascot"
"3demes"	10	500	"uniformS_20"	"mascot"
"3demes"	10	500	"biased_2.5"	"mascot"
"3demes"	10	500	"biased_50"	"mascot"
"3demes"	3	500	"biased_50"	"mascot"
"3demes"	3	500	"biased_2.5"	"mascot"
"3demes"	3	500	"biased_5"	"mascot"
"3demes"	3	500	"uniform"	"mascot"
"3demes"	3	500	"uniformS_20"	"mascot"
"3demes"	3	500	"maxPerRegionYear_10"	"mascot"
"3demes"	3	500	"uniformS_10"	"mascot"
"3demes"	3	500	"maxPerRegion_10"	"mascot"
"3demes"	3	500	"maxPerRegion_20"	"mascot"
"3demes"	3	500	"biased_10"	"mascot"
"3demes"	3	500	"biased_20"	"mascot"
"3demes"	3	500	"maxPerRegionYear_20"	"mascot"
"3demes"	9	500	"biased_5"	"mascot"
"3demes"	9	500	"biased_20"	"mascot"
"3demes"	9	500	"biased_50"	"mascot"
"3demes"	9	500	"maxPerRegion_10"	"mascot"
"3demes"	9	500	"uniform"	"mascot"
"3demes"	9	500	"uniformS_20"	"mascot"
"3demes"	9	500	"maxPerRegionYear_10"	"mascot"
"3demes"	9	500	"maxPerRegion_20"	"mascot"
"3demes"	9	500	"biased_10"	"mascot"
"3demes"	9	500	"maxPerRegionYear_20"	"mascot"
