value	parameter	model
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
3.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
1.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
1.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
1.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
1.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
1.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Americas	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
1.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
0.0	nMigration_Africa_Asia	dta
