value	parameter	model
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
4	nMigration_Africa_Americas	glm_who
5	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
4	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
4	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
3	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
1	nMigration_Africa_Americas	glm_who
0	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
2	nMigration_Africa_Americas	glm_who
